[1]
1,周末,Weekend,zhou mo
2,打算,to plan ; to intend,da suan
3,啊,part.used at the end of a sentence to indicate confirmation or defense,a,end;sentence;confirmation;defense
4,跟,with,gen
5,一直,always,yi zhi
6,游戏,game,you xi
7,作业,homework,zuo ye
8,着急,to be anxious,zhao ji
9,复习,to review,fu xi
10,南方,south area,nan fang
11,北方,north,bei fang
12,面包,bread,mian bao
13,带,to bring; to take,dai
14,地图,map,di tu
15,搬,to move,ban
[2]
1,腿,leg,tui
2,疼,hurt; painful,teng
3,脚,foot,jiao
4,树,tree,shu
5,容易,easy,rong yi
6,难,difficult; hard,nan
7,太太,mrs.; madam,tai tai
8,秘书,secretary,mi shu
9,经理,manager,jing li
10,办公室,office,ban gong shi
11,辆,measure word used for vehicles,liang,measure;word;vehicles
12,楼,building,lou
13,拿,to take; to fetch,na
14,把,measure word used for things with a handle,ba,measure;word;handle
15,伞,umbrella,san
16,胖,fat,pang
17,其实,actually,qi shi
18,瘦,thin,shou
[3]
1,还是,or,hai shi,or
2,爬山,to climb a mountain,pa shan,climb;mountain
3,小心,careful,xiao xin
4,条,measure word used for trousers or dress,tiao,measure;word;trousers;dress
5,裤子,trousers; trouser,ku zi
6,记得,remember,ji de
7,衬衫,shirt,chen shan
8,元,unit of money,yuan,money
9,新鲜,fresh,xin xian
10,甜,sweet,tian
11,只,only,zhi
12,放,to put; to place,fang
13,饮料,beverage; beverages; drinks,yin liao
14,或者,or,huo zhe,or
15,舒服,comfortable,shu fu
16,花,flower,hua
17,绿,green,lu
[4]
1,比赛,match; competition,bi sai
2,照片,photo,zhao pian
3,年级,grade; year,nian ji
4,又,and,you
5,聪明,clever; smart,cong ming
6,热情,warm; enthusiastic,re qing
7,努力,hard working,nu li,hard;working
8,总是,always,zong shi
9,回答,answer,hui da
10,站,to stand,zhan
11,饿,hungry,e
12,超市,supermarket,chao shi
13,蛋糕,cake,dan gao
14,年轻,young,nian qing
15,认真,serious; earnest,ren zhen
16,客人,customer; customers,ke ren
[5]
1,发烧,fever,fa shao
2,为,for,wei
3,照顾,take care of,zhao gu
4,用,to need; to use,yong
5,感冒,to catch a cold,gan mao,cold
6,季节,season,ji jie
7,当然,of course; certainly,dang ran
8,春天,spring,chun tian
9,草,grass,cao
10,夏天,summer,xia tian
11,裙子,skirt,qun zi
12,最近,recent; recently,zui jin
13,越,more; to a greater degree,yue
[6]
1,眼镜,glasses; spectacles,yan jing
2,突然,suddenly,tu ran
3,离开,to leave; to part with,li kai
4,清楚,clear; distinct,qing chu
5,刚才,just now,gang cai,now
6,帮忙,to help,bang mang
7,特别,extraordinary,te bie
8,讲,to explain,jiang
9,明白,clear,ming bai
10,锻炼,to do physical exercise,duan lian,exercise
11,音乐,music,yin yue
12,公园,park,gong yuan
13,聊天儿,to chat,liao tian er
14,睡着,sleep,shui zhe
15,更,more; even more,geng
[7]
1,同事,colleague,tong shi
2,以前,before; ago,yi qian
3,银行,bank,yin hang
4,久,for a long time; long,jiu,long
5,感兴趣,to be interested in,gan xing qu,interested
6,结婚,to marry; to get married,jie hun
7,欢迎,to welcome,huan ying
8,迟到,to be late,chi dao,late
9,半,half,ban
10,接,to meet somebody; to pick up something,jie,meet;pick
11,刻,one quarter,ke,quarter
12,差,to fall short of,cha
[8]
1,又,again,you
2,满意,to be satisfied,man yi,satisfied
3,电梯,elevator,dian ti
4,层,measure word used for floors,ceng,measure;word;floors
5,害怕,to be afraid; to be scared,hai pa,scared
6,熊猫,panda,xiong mao
7,见面,to meet,jian mian,meet
8,安静,quiet,an jing
9,可乐,coke; coca cola,ke le
10,一会儿,a moment,yi hui er,moment
